A_recoverable_norm,E_mode_norm,PiO_mode_norm,alignment_with_negative_Arec,lambda,method,mode,policy,setting,source_visible_norm
0.016939847902615573,0.0003007824249651405,0.01680278512585357,0.9998740782874439,0.01,L2,1,actual,hidden_u_hurts,1.179566679912516
0.016939847902615573,9.39184824568217e-13,0.016939847902397068,1.0000000000000002,0.01,L2,1,Pi00,hidden_u_hurts,1.179566679912516
0.016939847902615573,9.39184824568217e-13,0.016939847902397068,1.0000000000000002,0.01,L2,1,PiC0,hidden_u_hurts,1.179566679912516
0.016939847902615573,0.00012862036213791682,0.016816141210946767,0.9999978237739907,0.01,L2,1,Pi0K,hidden_u_hurts,1.179566679912516
0.016939847902615573,0.00012862036213791682,0.016816141210946767,0.9999978237739907,0.01,L2,1,PiCK,hidden_u_hurts,1.179566679912516
0.0,0.0,0.0,0.0,0.01,L2,2,actual,hidden_u_hurts,1.1180339887572193
0.0,0.0,0.0,0.0,0.01,L2,2,Pi00,hidden_u_hurts,1.1180339887572193
0.0,0.0,0.0,0.0,0.01,L2,2,PiC0,hidden_u_hurts,1.1180339887572193
0.0,0.0,0.0,0.0,0.01,L2,2,Pi0K,hidden_u_hurts,1.1180339887572193
0.0,0.0,0.0,0.0,0.01,L2,2,PiCK,hidden_u_hurts,1.1180339887572193
0.17753407154173476,0.0016668769973107282,0.17601684678443133,0.9999923756256031,0.01,L2,3,actual,hidden_u_hurts,1.0491124338579063
0.17753407154173476,1.0963549703322613e-12,0.1775340715414341,1.0,0.01,L2,3,Pi00,hidden_u_hurts,1.0491124338579063
0.17753407154173476,1.0963549703322613e-12,0.1775340715414341,1.0,0.01,L2,3,PiC0,hidden_u_hurts,1.0491124338579063
