actual_target_risk_change,blind_fraction,control_score_c,curvature_ratio,exact_optimizer_success,exact_target_risk,exposure_posthoc,intervention_family_posthoc,lambda,local_valid,local_vulnerability,method,metric_min_eigenvalue,relevance_squared,shift_id,shift_index,source_optimum_target_risk,steering,steering_class
1.4548369509093106e-08,0.0,0.5883393018106385,0.999994116654556,True,0.2663086316244122,S1,relation,1e-05,True,0.0003719463189224827,L2,1.0711050225474326,0.0006917238640540102,S1-relation--1-0.25,0,0.2663086170760427,1.455569069513457e-08,harmful
-4.059882685591987e-08,0.0,0.5238226477125492,0.9999947618028414,True,0.25711648437644863,S1,mean,1e-05,True,0.0006857629366841873,L2,1.0711050225474326,0.0023513876484882934,S1-mean--1-0.25,1,0.2571165249752755,-4.062540757644866e-08,helpful
-2.1206213118851736e-08,0.0,0.5089655861320902,0.9999949103828477,True,0.24635805459865667,S1,relation,1e-05,True,0.00034859519288561795,L2,1.0711050225474326,0.000607596385055951,S1-relation-+1-0.25,2,0.2463580758048698,-2.1220569041008286e-08,helpful
2.019138301001533e-08,0.0,0.4840782484542645,0.9999951592415927,True,0.2571165451666586,S1,mean,1e-05,True,0.000685763268143477,L2,1.0711050225474326,0.002351387648488293,S1-mean-+1-0.25,3,0.2571165249752756,2.021421764221088e-08,harmful
-9.999277850170074e-08,0.0,0.8630695322344472,0.9999913693831619,True,0.26734521130089406,S1,variance,1e-05,True,0.0007007236381119895,L2,1.0711050225474326,0.002455110819924973,S1-variance-0.25,4,0.26734531129367256,-9.997317518810318e-08,helpful
2.2425951207161177e-08,0.0,0.6238688454353158,0.9999937613630905,True,0.27742307891549944,S1,relation,1e-05,True,0.0007704375485273106,L2,1.0711050225474326,0.0029678852251444803,S1-relation--1-0.5,5,0.27742305648954824,2.244650304439565e-08,harmful
-1.0161804153696608e-07,0.0,0.553790362349973,0.9999944621297869,True,0.26060512773961064,S1,mean,1e-05,True,0.0013937304573914844,L2,1.0711050225474326,0.009712567316798997,S1-mean--1-0.5,6,0.2606052293576522,-1.0166200508713483e-07,helpful
-4.908321316055009e-08,0.0,0.4661666223263419,0.9999953383677085,True,0.2375219248639887,S1,relation,1e-05,True,0.0006774735204600863,L2,1.0711050225474326,0.002294865393160023,S1-relation-+1-0.5,7,0.23752197394720187,-4.9106016427889905e-08,helpful
1.9962378194904318e-08,0.0,0.47681422496897224,0.9999952318810096,True,0.2606052493200304,S1,mean,1e-05,True,0.001393731762105425,L2,1.0711050225474326,0.009712567316799004,S1-mean-+1-0.5,8,0.2606052293576522,2.001724535018389e-08,harmful
-1.9998987177416438e-07,0.0,0.8630695322344473,0.9999913693831618,True,0.2787367990829901,S1,variance,1e-05,True,0.0014014472762239806,L2,1.0711050225474326,0.009820443279699921,S1-variance-0.5,9,0.27873699907286187,-1.9994635037620662e-07,helpful
