method,seed,checkpoint,radius,cell,delta_norm,raw_direction_norm,common_alpha,functional_response_norm,source_response_norm,counterfactual_response_norm,clean_response_norm,projected_condition_number,min_eigenvalue,negative_eigenvalue_count,pd_gate,linear_solve_residual,radius_error_half,radius_error_quarter,linearity_gate,resolution_gate,derived_valid,required_cells
IRMv1,12,300,0.001,delta_C,,,,0.0021773142077202395,0.0011787443630817704,0.0014750643711133155,0.0010841789458919816,,,,True,,,,True,True,True,"10,00"
IRMv1,12,300,0.001,delta_K,,,,1.1608181234621789e-05,6.6731697447039626e-06,7.691275813785664e-06,5.573414885908723e-06,,,,False,,,,True,False,False,"01,00"
IRMv1,12,300,0.001,delta_interaction,,,,0.0021581038549242215,0.0011689360962067537,0.001460967882952101,0.0010754410707268665,,,,False,,,,True,False,False,"11,10,01,00"
IRMv1,12,300,0.0005,delta_C,,,,0.001088666544546354,0.0005893730736138736,0.0007375435554281462,0.0005420919932629911,,,,True,,,,True,True,True,"10,00"
IRMv1,12,300,0.0005,delta_K,,,,5.804090439431565e-06,3.3365847801739626e-06,3.845637775181053e-06,2.7867073645994625e-06,,,,False,,,,True,False,False,"01,00"
IRMv1,12,300,0.0005,delta_interaction,,,,0.0010790606164820594,0.0005844689247806603,0.0007304942124773812,0.0005377230658484258,,,,False,,,,True,False,False,"11,10,01,00"
IRMv1,12,300,0.00025,delta_C,,,,0.0005443337955293761,0.0002946867598932257,0.00036877089227570995,0.0002710480096020362,,,,True,,,,True,True,True,"10,00"
IRMv1,12,300,0.00025,delta_K,,,,2.902045174597097e-06,1.668292366976321e-06,1.922818853876054e-06,1.3933536625242068e-06,,,,False,,,,True,False,False,"01,00"
IRMv1,12,300,0.00025,delta_interaction,,,,0.0005395309561635837,0.0002922346816260411,0.0003652464137755845,0.0002688635355301861,,,,False,,,,True,False,False,"11,10,01,00"
IRMv1,13,300,0.001,00,3.0647053651016807e-06,5.743016856599192,5.336403220861317e-07,7.346512758186006e-06,4.339895695482871e-06,5.45517069031932e-06,2.3189799046132206e-06,2.8865079069058863,0.0012800571392418115,0.0,True,3.582791971490862e-18,4.194125459091812e-08,6.354752741760277e-08,True,True,,
IRMv1,13,300,0.0005,00,1.5323526825508404e-06,5.743016856599192,2.6682016104306586e-07,3.6732562775222083e-06,2.169947794261711e-06,2.7275852669918147e-06,1.1594899144987162e-06,2.8865079069058863,0.0012800571392418115,0.0,True,3.582791971490862e-18,4.194125459091812e-08,6.354752741760277e-08,True,True,,
IRMv1,13,300,0.00025,00,7.661763412754202e-07,5.743016856599192,1.3341008052153293e-07,1.8366281117116664e-06,1.0849738825905985e-06,1.3637926127910069e-06,5.797449474747712e-07,2.8865079069058863,0.0012800571392418115,0.0,True,3.582791971490862e-18,4.194125459091812e-08,6.354752741760277e-08,True,True,,
IRMv1,13,300,0.001,01,1.4559402016764192e-08,0.027283174479484463,5.336403220861317e-07,2.1010239169428398e-08,1.1419540164913253e-08,1.4119407050238e-08,1.0567241689684522e-08,862.618859126156,-0.6015988198260072,4.0,False,3.905973755253238e-18,7.727283086241528e-07,1.4994809078957163e-06,True,False,,
IRMv1,13,300,0.0005,01,7.279701008382096e-09,0.027283174479484463,2.6682016104306586e-07,1.0505120451120166e-08,5.7097703264758965e-09,7.059704128095423e-09,5.283621498100636e-09,862.618859126156,-0.6015988198260072,4.0,False,3.905973755253238e-18,7.727283086241528e-07,1.4994809078957163e-06,True,False,,
IRMv1,13,300,0.00025,01,3.639850504191048e-09,0.027283174479484463,1.3341008052153293e-07,5.2525589721937554e-09,2.854884633958778e-09,3.5298511790242777e-09,2.6418100115451455e-09,862.618859126156,-0.6015988198260072,4.0,False,3.905973755253238e-18,7.727283086241528e-07,1.4994809078957163e-06,True,False,,
IRMv1,13,300,0.001,10,0.0010000000000000002,1873.9213635333124,5.336403220861317e-07,0.0025511103315007866,0.0014403536260280472,0.0018875222438149372,0.0009331694029391126,2.8865079069058863,0.0012800571392418115,0.0,True,6.347855485236092e-16,0.0012641533398716934,0.0014898098598864153,True,True,,
IRMv1,13,300,0.0005,10,0.0005000000000000001,1873.9213635333124,2.6682016104306586e-07,0.0012755879561766458,0.0007201824859410559,0.0009438231039566484,0.0004665402119049468,2.8865079069058863,0.0012800571392418115,0.0,True,6.347855485236092e-16,0.0012641533398716934,0.0014898098598864153,True,True,,
IRMv1,13,300,0.00025,10,0.00025000000000000006,1873.9213635333124,1.3341008052153293e-07,0.0006378074017118923,0.0003600928808392723,0.00047192883701762203,0.00023326931139466944,2.8865079069058863,0.0012800571392418115,0.0,True,6.347855485236092e-16,0.0012641533398716934,0.0014898098598864153,True,True,,
IRMv1,13,300,0.001,11,2.3860851422856482e-05,44.71335923338492,5.336403220861317e-07,2.6579423483617017e-05,1.5232991089746676e-05,1.817339825834587e-05,1.2006220509581745e-05,862.618859126156,-0.6015988198260072,4.0,False,6.384087846464152e-15,5.073540807093734e-07,7.609545325883231e-07,True,False,,
IRMv1,13,300,0.0005,11,1.1930425711428241e-05,44.71335923338492,2.6682016104306586e-07,1.3289710652798465e-05,7.6164949757268025e-06,9.08669814830019e-06,6.003110050757972e-06,862.618859126156,-0.6015988198260072,4.0,False,6.384087846464152e-15,5.073540807093734e-07,7.609545325883231e-07,True,False,,
